Date,Production_Tons,Electricity_Consumption_MWh,Temperature_Celsius,Humidity_Percent,Weather_Condition,Shift,Downtime_Hours
2021-01-31,512.4,1189.2,22.1,63.4,Foggy,Night,2.14
2021-02-28,528.7,1215.3,24.8,58.9,Cloudy,Evening,1.76
2021-03-31,549.2,1298.4,28.7,52.3,Sunny,Morning,1.12
2021-04-30,573.1,1342.7,32.4,48.1,Sunny,Evening,0.94
2021-05-31,598.4,1421.9,35.8,56.7,Foggy,Night,2.63
2021-06-30,612.9,1478.3,38.6,68.2,Stormy,Morning,3.41
2021-07-31,587.2,1394.1,31.9,81.4,Rainy,Evening,4.12
2021-08-31,575.6,1368.2,30.7,77.9,Rainy,Night,3.05
2021-09-30,561.3,1294.7,29.4,70.1,Cloudy,Evening,1.88
2021-10-31,538.8,1241.5,27.3,61.4,Sunny,Morning,1.02
2021-11-30,522.1,1198.4,24.6,58.2,Foggy,Night,2.77
2021-12-31,509.4,1163.2,21.8,65.1,Cloudy,Evening,3.12
2022-01-31,518.7,1204.9,22.4,64.8,Foggy,Night,2.31
2022-02-28,533.1,1231.6,25.1,59.3,Cloudy,Evening,1.54
2022-03-31,552.8,1310.4,29.1,53.0,Sunny,Morning,1.08
2022-04-30,579.3,1364.2,33.0,49.0,Sunny,Evening,0.87
2022-05-31,603.7,1449.1,36.2,57.4,Foggy,Night,2.42
2022-06-30,618.4,1502.7,39.1,69.0,Stormy,Morning,3.66
2022-07-31,592.1,1410.3,32.4,82.0,Rainy,Evening,4.25
2022-08-31,580.4,1382.6,31.1,78.4,Rainy,Night,3.18
2022-09-30,566.0,1310.1,29.8,71.2,Cloudy,Evening,1.73
2022-10-31,543.6,1258.4,27.7,62.1,Sunny,Morning,1.15
2022-11-30,528.3,1214.7,25.0,59.0,Foggy,Night,2.54
2022-12-31,514.9,1178.2,22.0,66.0,Cloudy,Evening,3.28
2023-01-31,521.4,1210.6,22.7,65.2,Foggy,Night,2.44
2023-02-28,536.8,1242.1,25.4,59.7,Cloudy,Evening,1.61
2023-03-31,556.2,1324.9,29.4,53.6,Sunny,Morning,1.14
2023-04-30,583.7,1378.6,33.3,49.5,Sunny,Evening,0.92
2023-05-31,608.9,1461.4,36.6,58.1,Foggy,Night,2.58
2023-06-30,623.5,1517.2,39.4,69.8,Stormy,Morning,3.72
2023-07-31,597.3,1426.1,32.8,82.7,Rainy,Evening,4.33
2023-08-31,585.0,1394.8,31.5,79.1,Rainy,Night,3.26
2023-09-30,570.2,1325.7,30.1,71.9,Cloudy,Evening,1.81
2023-10-31,547.9,1273.2,28.0,62.8,Sunny,Morning,1.21
2023-11-30,532.7,1229.4,25.3,59.5,Foggy,Night,2.61
2023-12-31,519.1,1191.7,22.3,66.7,Cloudy,Evening,3.35
2024-01-31,525.6,1224.3,23.0,65.9,Foggy,Night,2.52
2024-02-29,541.2,1256.8,25.8,60.1,Cloudy,Evening,1.69
2024-03-31,560.4,1341.7,29.8,54.2,Sunny,Morning,1.19
2024-04-30,588.1,1394.3,33.7,50.1,Sunny,Evening,0.98
2024-05-31,613.4,1478.9,37.0,58.8,Foggy,Night,2.71
2024-06-30,628.8,1533.4,39.8,70.5,Stormy,Morning,3.85
2024-07-31,602.5,1442.0,33.2,83.4,Rainy,Evening,4.41
2024-08-31,590.1,1410.6,31.9,79.8,Rainy,Night,3.33
2024-09-30,575.0,1340.2,30.4,72.6,Cloudy,Evening,1.94
2024-10-31,552.3,1287.1,28.3,63.4,Sunny,Morning,1.27
2024-11-30,537.0,1243.8,25.6,60.2,Foggy,Night,2.74
2024-12-31,523.4,1206.5,22.7,67.3,Cloudy,Evening,3.42
2025-01-31,529.8,1236.9,23.3,66.4,Foggy,Night,2.63
2025-02-28,545.5,1269.4,26.1,60.8,Cloudy,Evening,1.74
2025-03-31,564.7,1354.8,30.2,54.9,Sunny,Morning,1.22
2025-04-30,592.4,1407.6,34.1,50.7,Sunny,Evening,1.01
2025-05-31,617.8,1493.2,37.4,59.3,Foggy,Night,2.82
2025-06-30,633.1,1549.7,40.2,71.3,Stormy,Morning,3.94
2025-07-31,606.9,1458.4,33.6,84.1,Rainy,Evening,4.55
2025-08-31,594.2,1426.3,32.3,80.4,Rainy,Night,3.47
2025-09-30,579.4,1356.1,30.7,73.4,Cloudy,Evening,2.02
2025-10-31,556.8,1303.9,28.6,64.1,Sunny,Morning,1.33
2025-11-30,541.6,1259.8,25.9,60.9,Foggy,Night,2.81
2025-12-31,528.0,1222.4,23.0,67.9,Cloudy,Evening,3.55
