Date,Production_Tons,Electricity_Consumption_MWh,Temperature_Celsius,Humidity_Percent,Weather_Condition,Shift,Downtime_Hours
2024-01-01,524.8,1102.2,31.0,34.4,Foggy,Morning,2.14
2024-01-02,493.1,1240.8,27.7,67.3,Stormy,Evening,5.15
2024-01-03,532.4,1029.7,29.1,88.9,Sunny,Evening,0.87
2024-01-04,576.2,1302.9,34.9,41.4,Cloudy,Evening,0.49
2024-01-05,488.3,1247.3,40.3,77.6,Stormy,Night,2.4
2024-01-06,488.3,1225.6,34.0,84.5,Cloudy,Night,0.59
2024-01-07,579.0,1298.3,26.0,86.6,Sunny,Evening,0.53
2024-01-08,538.4,1366.5,34.2,87.6,Stormy,Morning,0.4
2024-01-09,476.5,1301.4,38.0,61.3,Sunny,Night,0.21
2024-01-10,527.1,1015.9,29.0,88.6,Sunny,Morning,0.44
2024-01-11,476.8,1072.0,31.3,75.4,Foggy,Evening,0.66
2024-01-12,476.7,1137.5,32.1,39.7,Foggy,Morning,1.68
2024-01-13,512.1,1202.6,28.1,58.6,Cloudy,Night,0.1
2024-01-14,404.3,1251.8,35.2,73.1,Rainy,Morning,0.35
2024-01-15,413.8,1127.4,31.4,44.8,Foggy,Evening,2.48
2024-01-16,471.9,1218.7,34.1,68.4,Stormy,Night,0.24
2024-01-17,449.4,1124.5,27.6,70.0,Rainy,Evening,0.63
2024-01-18,515.7,1138.8,29.8,39.8,Sunny,Night,3.0
2024-01-19,454.6,1059.3,35.6,63.9,Rainy,Morning,0.25
2024-01-20,429.4,1107.7,30.1,76.3,Sunny,Night,0.13
2024-01-21,573.3,1064.8,40.6,59.9,Sunny,Evening,0.99
2024-01-22,488.7,1102.4,30.0,30.7,Sunny,Morning,0.54
2024-01-23,503.4,1305.4,33.1,30.5,Stormy,Morning,1.24
2024-01-24,428.8,1105.1,36.7,51.4,Rainy,Evening,2.44
2024-01-25,472.8,1463.2,24.9,85.6,Cloudy,Evening,0.22
2024-01-26,505.5,1249.3,23.2,43.7,Stormy,Evening,1.3
2024-01-27,442.5,1218.5,24.4,68.1,Stormy,Night,1.06
2024-01-28,518.8,1114.2,38.3,43.3,Foggy,Night,0.23
2024-01-29,470.0,1270.0,29.2,49.3,Rainy,Morning,1.47
2024-01-30,485.4,1142.4,44.8,80.9,Stormy,Night,0.48
2024-01-31,469.9,1212.2,29.2,73.7,Foggy,Morning,1.0
2024-02-01,592.6,1456.0,32.9,35.7,Foggy,Morning,0.13
2024-02-02,499.3,1190.4,39.7,55.7,Sunny,Evening,0.92
2024-02-03,447.1,1314.9,42.0,31.8,Rainy,Evening,0.55
2024-02-04,541.1,1129.7,42.3,58.9,Foggy,Morning,2.59
2024-02-05,439.0,1196.5,38.0,69.7,Sunny,Evening,0.09
2024-02-06,510.4,1377.1,37.1,37.1,Cloudy,Evening,0.81
2024-02-07,402.0,1137.3,35.0,47.3,Rainy,Evening,0.92
2024-02-08,433.6,1381.2,35.9,53.9,Stormy,Morning,1.94
2024-02-09,509.8,1270.8,29.2,85.2,Foggy,Night,1.28
2024-02-10,536.9,1143.8,27.9,89.6,Sunny,Night,1.65
2024-02-11,508.6,1263.2,32.0,32.7,Stormy,Evening,2.25
2024-02-12,494.2,1297.3,31.1,75.7,Foggy,Evening,2.97
2024-02-13,484.9,1262.2,29.7,52.3,Rainy,Morning,0.57
2024-02-14,426.1,1043.0,35.5,53.5,Cloudy,Night,1.16
2024-02-15,464.0,1127.3,36.8,75.3,Rainy,Morning,2.75
2024-02-16,477.0,1175.2,32.4,85.1,Rainy,Morning,6.83
2024-02-17,552.9,1192.6,39.4,87.1,Rainy,Night,3.3
2024-02-18,517.2,1262.1,26.3,64.6,Foggy,Night,0.7
2024-02-19,411.8,1217.8,31.0,51.4,Stormy,Evening,0.33
2024-02-20,516.2,1066.5,28.4,77.3,Stormy,Evening,1.01
2024-02-21,480.7,1238.0,22.7,45.1,Sunny,Morning,2.03
2024-02-22,466.2,1261.1,31.6,63.8,Rainy,Morning,1.02
2024-02-23,530.6,1256.0,31.4,51.5,Cloudy,Morning,0.99
2024-02-24,551.5,1308.1,39.6,69.4,Cloudy,Night,2.73
2024-02-25,546.6,1283.4,35.2,44.4,Foggy,Morning,0.67
2024-02-26,458.0,1245.9,26.9,41.5,Rainy,Evening,2.95
2024-02-27,484.5,1193.0,41.3,85.1,Foggy,Evening,0.78
2024-02-28,516.6,1033.9,38.1,36.1,Foggy,Evening,0.6
2024-02-29,548.8,1243.0,34.9,60.4,Rainy,Morning,0.91
2024-03-01,476.0,1220.8,30.9,43.3,Rainy,Morning,2.16
2024-03-02,490.7,1227.2,27.2,32.3,Cloudy,Morning,0.2
2024-03-03,444.7,1072.3,30.1,32.2,Stormy,Morning,0.33
2024-03-04,440.2,1091.9,37.4,40.5,Rainy,Evening,4.54
2024-03-05,540.6,1305.3,41.4,82.0,Rainy,Morning,0.29
2024-03-06,567.8,1196.0,39.7,46.9,Rainy,Morning,1.26
2024-03-07,496.4,1268.2,29.6,87.0,Foggy,Evening,1.3
2024-03-08,550.2,1202.8,26.4,64.9,Sunny,Morning,1.01
2024-03-09,518.1,1203.0,32.7,56.2,Foggy,Evening,1.55
2024-03-10,467.7,1293.8,23.2,64.8,Foggy,Evening,0.39
2024-03-11,518.1,1148.4,33.6,61.0,Cloudy,Morning,1.21
2024-03-12,576.9,1209.6,31.3,75.5,Foggy,Evening,0.7
2024-03-13,498.2,1153.8,29.7,46.9,Rainy,Evening,1.63
2024-03-14,578.2,1156.6,24.0,51.2,Stormy,Night,0.23
2024-03-15,369.0,1169.1,34.6,83.6,Stormy,Evening,1.27
2024-03-16,541.1,1222.2,29.3,86.8,Foggy,Evening,0.31
2024-03-17,504.4,1152.1,26.2,83.6,Cloudy,Evening,0.49
2024-03-18,485.0,1325.6,17.6,55.2,Rainy,Evening,0.37
2024-03-19,504.6,1110.5,31.9,76.8,Cloudy,Morning,0.3
2024-03-20,400.6,1181.3,40.9,58.6,Cloudy,Night,2.62
2024-03-21,489.0,1156.0,40.3,59.9,Sunny,Evening,0.5
2024-03-22,517.9,1344.7,29.7,42.3,Stormy,Evening,3.93
2024-03-23,573.9,1219.7,29.0,65.5,Sunny,Evening,5.26
2024-03-24,474.1,1303.2,34.3,41.2,Sunny,Morning,1.27
2024-03-25,459.6,1051.4,27.0,49.9,Rainy,Morning,0.23
2024-03-26,474.9,1226.7,33.5,81.3,Cloudy,Evening,0.7
2024-03-27,545.8,1289.0,35.8,42.4,Stormy,Evening,2.4
2024-03-28,516.4,1208.2,38.1,34.3,Stormy,Evening,0.69
2024-03-29,473.5,1306.5,31.5,34.1,Foggy,Evening,0.14
2024-03-30,525.7,1148.3,31.0,86.4,Cloudy,Night,1.22
2024-03-31,504.9,1340.9,27.6,60.4,Stormy,Night,2.8
2024-04-01,548.4,1429.9,27.9,54.6,Rainy,Morning,2.38
2024-04-02,464.9,1163.7,30.9,78.7,Cloudy,Night,0.29
2024-04-03,483.6,1155.4,33.8,80.1,Stormy,Morning,1.68
2024-04-04,480.4,1345.3,36.6,49.9,Rainy,Night,0.37
2024-04-05,426.8,1358.0,28.0,71.6,Stormy,Morning,0.37
2024-04-06,514.8,1147.7,39.5,76.3,Rainy,Night,3.11
2024-04-07,513.1,1158.0,30.6,69.3,Sunny,Night,0.43
2024-04-08,500.3,1171.8,31.9,39.1,Stormy,Morning,0.46
2024-04-09,488.3,1065.6,28.3,82.6,Rainy,Night,0.0
2024-04-10,429.2,1108.1,19.9,62.3,Cloudy,Evening,3.07
2024-04-11,479.0,1099.6,36.4,46.9,Stormy,Morning,2.36
2024-04-12,482.9,1123.2,35.7,55.5,Sunny,Night,1.48
2024-04-13,459.9,1196.5,30.6,32.3,Cloudy,Morning,2.08
2024-04-14,491.9,1223.4,32.3,37.7,Foggy,Morning,0.25
2024-04-15,520.2,1355.1,34.6,75.9,Foggy,Evening,0.92
2024-04-16,594.3,1100.2,24.2,30.0,Cloudy,Night,0.65
2024-04-17,508.7,1298.4,29.4,55.0,Sunny,Morning,0.15
2024-04-18,512.9,1178.6,36.0,61.4,Cloudy,Evening,1.0
2024-04-19,496.3,1195.1,25.7,33.3,Sunny,Night,3.8
2024-04-20,404.1,1267.5,33.5,88.4,Stormy,Evening,0.06
2024-04-21,498.7,1087.7,25.2,43.6,Stormy,Night,0.52
2024-04-22,503.0,1238.2,34.3,48.3,Foggy,Morning,0.35
2024-04-23,623.2,1216.6,31.8,48.2,Sunny,Morning,0.41
2024-04-24,490.4,1249.2,23.9,43.8,Cloudy,Evening,3.59
2024-04-25,515.1,1228.9,37.8,30.1,Cloudy,Morning,0.95
2024-04-26,498.3,1445.5,28.3,73.8,Foggy,Morning,0.94
2024-04-27,441.6,1136.2,27.9,88.0,Sunny,Evening,2.14
2024-04-28,557.1,1146.9,33.0,43.5,Foggy,Evening,0.25
2024-04-29,537.6,1137.7,37.7,69.8,Sunny,Evening,1.0
2024-04-30,539.6,1144.5,26.9,74.5,Rainy,Night,0.84
2024-05-01,454.5,1136.3,32.3,80.9,Sunny,Morning,1.36
2024-05-02,570.1,1318.9,34.1,55.4,Foggy,Evening,8.0
2024-05-03,429.9,1342.1,35.5,48.2,Sunny,Evening,2.2
2024-05-04,529.3,1142.9,32.9,49.5,Foggy,Morning,0.76
2024-05-05,609.5,1116.8,30.2,72.8,Foggy,Evening,2.64
2024-05-06,450.5,1247.1,27.9,79.0,Stormy,Morning,0.28
2024-05-07,471.7,1144.8,32.4,40.9,Stormy,Morning,0.05
2024-05-08,505.0,1263.3,26.6,52.3,Cloudy,Evening,0.34
2024-05-09,474.8,1220.3,17.4,84.1,Stormy,Evening,0.62
2024-05-10,422.5,1048.4,34.2,78.4,Sunny,Night,1.07
2024-05-11,503.4,1354.8,36.5,89.1,Cloudy,Morning,1.43
2024-05-12,446.9,1379.6,20.2,75.3,Sunny,Morning,3.62
2024-05-13,523.7,1138.7,27.0,53.6,Rainy,Morning,1.07
2024-05-14,454.0,1161.2,35.1,65.4,Cloudy,Morning,1.04
2024-05-15,577.5,1228.6,42.3,69.7,Stormy,Night,0.08
2024-05-16,460.8,1233.4,32.1,34.7,Sunny,Evening,0.05
2024-05-17,483.9,1265.9,28.4,62.7,Sunny,Morning,1.2
2024-05-18,540.7,1401.0,31.1,72.6,Foggy,Evening,0.86
2024-05-19,438.5,1182.3,38.9,40.0,Cloudy,Evening,2.74
2024-05-20,511.4,1120.2,28.8,76.8,Rainy,Morning,0.26
2024-05-21,565.4,1062.1,28.0,65.0,Rainy,Morning,0.04
2024-05-22,419.6,1126.9,29.6,87.1,Stormy,Morning,0.89
2024-05-23,509.2,1196.7,27.2,32.5,Sunny,Morning,0.41
2024-05-24,513.0,1379.5,32.6,45.9,Rainy,Morning,0.08
2024-05-25,539.1,1148.2,40.1,66.1,Foggy,Evening,1.93
2024-05-26,438.2,1222.4,33.6,47.8,Foggy,Morning,0.18
2024-05-27,434.0,1198.4,30.7,72.9,Rainy,Night,1.41
2024-05-28,526.1,1318.8,30.5,75.5,Stormy,Evening,0.49
2024-05-29,514.8,1452.7,24.2,36.2,Foggy,Evening,0.29
2024-05-30,512.5,1146.9,36.4,60.8,Stormy,Morning,0.72
2024-05-31,517.3,1151.1,31.6,60.5,Rainy,Morning,2.43
2024-06-01,466.0,1304.4,31.1,52.2,Foggy,Evening,0.75
2024-06-02,511.6,1268.2,45.0,86.0,Stormy,Night,2.08
2024-06-03,514.7,1384.7,33.5,79.7,Foggy,Evening,0.2
2024-06-04,464.3,1258.4,28.2,71.8,Cloudy,Night,2.22
2024-06-05,593.3,1164.1,29.9,72.9,Stormy,Evening,0.41
2024-06-06,523.7,1259.1,37.7,57.7,Rainy,Morning,1.7
2024-06-07,440.4,1310.9,32.6,85.3,Foggy,Morning,1.25
2024-06-08,532.8,1282.0,24.8,71.7,Foggy,Night,3.97
2024-06-09,451.3,1250.7,36.6,73.7,Cloudy,Evening,0.73
2024-06-10,539.4,1306.7,28.7,81.7,Cloudy,Morning,0.1
2024-06-11,557.9,1316.9,41.4,46.4,Cloudy,Evening,0.03
2024-06-12,459.0,1338.2,37.4,78.4,Sunny,Night,2.63
2024-06-13,548.2,1264.9,29.8,41.7,Foggy,Night,1.12
2024-06-14,520.6,1183.3,38.4,50.7,Cloudy,Night,2.24
2024-06-15,541.1,1214.7,32.3,50.1,Foggy,Night,0.4
2024-06-16,594.8,1320.7,36.3,88.7,Rainy,Night,0.63
2024-06-17,487.7,1118.3,34.4,81.4,Sunny,Evening,0.05
2024-06-18,462.3,1236.9,27.8,72.1,Foggy,Morning,4.89
2024-06-19,455.5,1160.7,28.8,73.6,Foggy,Evening,1.65
2024-06-20,459.2,1202.9,37.1,63.7,Stormy,Morning,4.06
2024-06-21,496.1,1327.8,30.3,86.8,Sunny,Morning,0.46
2024-06-22,517.1,1219.1,30.0,59.8,Rainy,Evening,1.42
2024-06-23,513.8,1204.6,27.2,52.8,Foggy,Evening,1.7
2024-06-24,541.4,1064.0,34.1,39.8,Cloudy,Night,0.57
2024-06-25,500.7,1274.6,42.3,77.2,Foggy,Evening,2.83
2024-06-26,572.7,1264.5,26.7,74.1,Rainy,Morning,4.41
2024-06-27,486.8,1416.3,32.1,53.1,Sunny,Night,3.24
2024-06-28,636.0,1169.2,39.1,31.5,Foggy,Evening,2.02
2024-06-29,531.3,1221.9,31.6,80.3,Foggy,Night,0.49
2024-06-30,457.1,1224.9,34.3,30.7,Stormy,Evening,0.5
2024-07-01,446.5,1357.7,26.7,72.2,Cloudy,Evening,4.96
2024-07-02,524.1,1190.5,34.1,88.2,Sunny,Morning,0.02
2024-07-03,488.8,1227.9,31.1,56.3,Sunny,Morning,1.89
2024-07-04,535.7,1260.8,36.9,44.1,Cloudy,Morning,1.84
2024-07-05,523.7,1218.7,37.9,72.3,Rainy,Morning,1.46
2024-07-06,496.4,1155.4,44.9,79.0,Sunny,Evening,6.92
